"File","Line","Column","Severity","Message","Rule"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","44018","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","45443","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","45479","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","46799","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","47098","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","47632","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","47789","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","47887","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","49315","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","49352","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","50675","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","50978","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","51512","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","51669","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","51767","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","53210","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","53249","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","54589","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","54898","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","55445","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","55606","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","55705","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","57161","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","57201","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","58539","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","58848","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","59393","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","59554","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","59653","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","61103","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","61143","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","61977","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","62015","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","62732","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","62853","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","63040","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","69635","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","69865","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","70107","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","70428","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","71134","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","73862","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","74016","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","74487","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","75805","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","76430","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","77480","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","78031","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","78350","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","79133","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","80753","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","80822","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","80979","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","81440","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","82099","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","82207","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","82362","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","82471","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","82753","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","83238","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","83359","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","83546","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","87651","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","90199","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","90350","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","90818","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","92132","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","92752","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","93828","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","94383","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","94702","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","95504","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","97144","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","97213","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","97370","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","97831","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","98503","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","98611","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","98766","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","98875","error","Unexpected constant condition","no-constant-condition"
